"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","interview_age","sex","index","response"
"662.1649999869987","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","91","html-keyboard-response","0","671","0.0-0.0","","","","","","","","","",""
"1249.1699999955017","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","1","1921","0.0-1.0-0.0","","","","","","","","","",""
"396.1700000218116","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","2","2318","0.0-1.0-1.0","","","","","","","","","",""
"218.01499999128282","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","3","2536","0.0-1.0-2.0","","","","","","","","","",""
"157.29499998269603","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","4","2694","0.0-1.0-3.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","3699","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0206.wav","null","audio-keyboard-response","6","5870","0.0-2.0-1.0","","","","","","","","","",""
"1304.1599999996834","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","7","7175","0.0-2.0-2.0","intel","206.wav","GUID","203893884","20","09/24/2020","12","M","0","0"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","17178","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ0608.WAV","null","audio-keyboard-response","9","18636","0.0-4.0-0.0","unaltered","0608.wav","GUID","203893884","20","09/24/2020","12","M","1",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","19140","0.0-4.0-1.0","","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","29143","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","30144","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0401.WAV","null","audio-keyboard-response","13","32022","0.0-6.0-1.0","","","","","","","","","",""
"1388.8849999930244","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","14","33411","0.0-6.0-2.0","unintel","401.wav","GUID","203893884","20","09/24/2020","12","M","2","0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","15","38413","0.0-7.0-0.0","","","","","","","","","",""
