"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","interview_age","sex","index","response"
"615.525000001071","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","618","0.0-0.0","","","","","","","","","",""
"340.59499998693354","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","1","959","0.0-1.0-0.0","","","","","","","","","",""
"259.53999999910593","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","2","1219","0.0-1.0-1.0","","","","","","","","","",""
"174.62500001420267","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","3","1394","0.0-1.0-2.0","","","","","","","","","",""
"166.83499998180196","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","4","1562","0.0-1.0-3.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","2564","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0206.WAV","null","audio-keyboard-response","6","4244","0.0-2.0-1.0","","","","","","","","","",""
"465.12999999686144","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","49","html-keyboard-response","7","4709","0.0-2.0-2.0","unintel","206.wav","GUID","609939332837","60","09/24/2020","12","M","1","1"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","14720","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ1916.WAV","null","audio-keyboard-response","9","16462","0.0-4.0-0.0","unaltered","1916.wav","GUID","609939332837","60","09/24/2020","12","M","1",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","16964","0.0-4.0-1.0","","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","26969","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","27973","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0501.wav","null","audio-keyboard-response","13","30005","0.0-6.0-1.0","","","","","","","","","",""
"17431.19500001194","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for Yes &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for No</h3>","48","html-keyboard-response","14","47437","0.0-6.0-2.0","intel","501.wav","GUID","609939332837","60","09/24/2020","12","M","2","0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","15","52438","0.0-7.0-0.0","","","","","","","","","",""
