"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","test_part","stim","subjectKey","src_subject_id","site","interview_date","interview_age","sex","index","response"
"578.300000022864","<h1 style=""color:white;"">Welcome to the experiment!</h1><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","0","581","0.0-0.0","","","","","","","","","",""
"652.8399999951944","<h2 style=""color:white;"">In this task you will listen to a series of audio clips.</h2><h2 style=""color:white;"">The task is split into two test blocks, with a listening block in-between.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","1","1234","0.0-1.0-0.0","","","","","","","","","",""
"267.11499999510124","<h2 style=""color:white;"">In the test blocks you will listen to a series of audio clips, and will have to indicate whether you heard speech in each clip.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","2","1502","0.0-1.0-1.0","","","","","","","","","",""
"297.06500002066605","<h2 style=""color:white;"">In the listening block you just have to listen to several audio recordings. No response is required.</h2><p style=""color:white;"">Press any key to continue.</p>","32","html-keyboard-response","3","1799","0.0-1.0-2.0","","","","","","","","","",""
"651.7750000057276","<h2 style=""color:white;"">We will now begin the first test block.</h2> <p style=""color:white;"">Press any key to begin.</p>","32","html-keyboard-response","4","2452","0.0-1.0-3.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","5","3460","0.0-2.0-0.0","","","","","","","","","",""
"null","sounds/unintel_45/U_BKBQ0612.WAV","null","audio-keyboard-response","6","5363","0.0-2.0-1.0","","","","","","","","","",""
"7126.025000005029","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for YES &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for NO</h3>","48","html-keyboard-response","7","12490","0.0-2.0-2.0","unintel","612.wav","GUID","20123","20","09/22/2020","12","M","1","0"
"null","<h2 style=""color:white;"">You will now hear some short sentences.</h2><p style=""color:white;"">You do not need to respond, just listen.</p>","null","html-keyboard-response","8","22498","0.0-3.0","","","","","","","","","",""
"null","sounds/unaltered_45/BKBQ2002.WAV","null","audio-keyboard-response","9","23358","0.0-4.0-0.0","unaltered","2002.wav","GUID","20123","20","09/22/2020","12","M","1",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","10","23860","0.0-4.0-1.0","","","","","","","","","",""
"null","<h2 style=""color:white;"">We will now begin the second test block.</h2","null","html-keyboard-response","11","33861","0.0-5.0","","","","","","","","","",""
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">+</p>","null","html-keyboard-response","12","34866","0.0-6.0-0.0","","","","","","","","","",""
"null","sounds/intel_45/I_BKBQ0312.wav","null","audio-keyboard-response","13","36895","0.0-6.0-1.0","","","","","","","","","",""
"7619.9499999929685","<h1 style=""color:white;"">Could you hear speech in the audio?</h1><h3 style=""color:white;"">Press ""1"" for YES &nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp Press ""0"" for NO</h3>","48","html-keyboard-response","14","44516","0.0-6.0-2.0","intel","312.wav","GUID","20123","20","09/22/2020","12","M","3","0"
"null","<p id=""counter"" style=""text-align:center; color:white; font-size:30px"">This is the end of the experiment.</p>","null","html-keyboard-response","15","49517","0.0-7.0-0.0","","","","","","","","","",""
